Entity,Code,Year,Prevalence - Depressive disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent,latitude,longitude
United Kingdom,GBR,2015,3.97210197377086,5.11887402576963,65860149.0,Europe,54.7023545,-3.2765753
United States,USA,2015,3.4954426899031104,5.95780040237815,320878312.0,North America,39.7837304,-100.445882
United States Virgin Islands,VIR,2015,2.73806116552124,4.150749527847291,104950.0,North America,17.789187,-64.7080574
Uruguay,URY,2015,2.2547893597739,3.87056464878453,3412013.0,South America,-32.8755548,-56.0201525
Uzbekistan,UZB,2015,2.63452791022083,3.95444997221909,30929556.0,Asia,41.32373,63.9528098
Vanuatu,VUT,2015,2.63934311675972,3.4741172530267304,271128.0,Oceania,-16.5255069,168.1069154
Venezuela,VEN,2015,2.79892265625185,3.84900888799683,30081827.0,South America,8.0018709,-66.1109318
Vietnam,VNM,2015,1.94928161440567,3.13708807186402,92677082.0,Asia,15.9266657,107.9650855
Yemen,YEM,2015,3.99378140128114,6.0564179308913095,26497881.0,Asia,16.3471243,47.8915271
Zambia,ZMB,2015,3.65832103510776,4.8481133059851,15879370.0,Africa,-14.5189121,27.5589884
Zimbabwe,ZWE,2015,3.09003919975851,3.92730569299696,13814642.0,Africa,-18.4554963,29.7468414
